K,train_price,train_ci_low,train_ci_high,test_price,test_ci_low,test_ci_high,mse,actual price,,Margin of error
100,0.0219,0.0153,0.0284,0.0186,0.0159,0.0212,29.3043,0.615,,0.5964
105,0.0444,0.0347,0.0541,0.0373,0.0334,0.0412,37.9182,0.755,,
110,0.0834,0.0691,0.0976,0.0723,0.0665,0.0781,45.4085,0.92,,
115,0.1464,0.1267,0.1661,0.1303,0.1222,0.1384,58.0065,1.115,,
120,0.2482,0.2211,0.2753,0.2261,0.2149,0.2373,68.2490,1.345,,
125,0.3957,0.3611,0.4303,0.3733,0.3585,0.3880,70.1813,1.63,,
130,0.6127,0.5686,0.6569,0.5839,0.5648,0.6029,74.6049,1.965,,
135,0.9157,0.8604,0.9710,0.8845,0.8605,0.9085,81.2417,2.355,,
140,1.3207,1.2536,1.3878,1.3054,1.2758,1.3349,85.2675,2.82,,
145,1.8302,1.7510,1.9093,1.8377,1.8024,1.8729,88.0051,3.35,,
150,2.5343,2.4402,2.6285,2.5204,2.4786,2.5622,94.6912,4,,
155,3.4178,3.3067,3.5289,3.3611,3.3119,3.4103,103.3519,4.75,,
160,4.4969,4.3671,4.6268,4.4148,4.3573,4.4722,116.3735,5.625,,
165,5.7965,5.6459,5.9472,5.6626,5.5963,5.7289,132.4064,6.65,,
170,7.2254,7.0567,7.3942,7.1513,7.0766,7.2260,146.0087,7.825,,
175,8.9493,8.7609,9.1377,8.8494,8.7661,8.9326,159.0841,9.175,,
180,10.8882,10.6812,11.0951,10.8010,10.7095,10.8926,173.1440,10.675,,
185,13.0420,12.8198,13.2643,13.0349,12.9359,13.1339,181.7389,12.4,,
190,15.4938,15.2547,15.7329,15.4773,15.3708,15.5839,194.6048,14.4,,
195,18.1631,17.9092,18.4171,18.1692,18.0562,18.2821,205.4501,16.6,,
200,21.0939,20.8308,21.3570,21.1122,20.9948,21.2296,210.1751,19.125,,
205,24.2102,23.9411,24.4793,24.2513,24.1311,24.3715,215.8845,21.95,,
210,27.6718,27.3966,27.9470,27.7112,27.5880,27.8345,220.9910,24.925,,
215,31.4914,31.2092,31.7735,31.3878,31.2614,31.5143,227.1868,28.6,,
220,35.3076,35.0273,35.5878,35.2820,35.1566,35.4075,230.5935,32.475,,
225,39.3140,39.0413,39.5868,39.3578,39.2364,39.4792,230.8424,36.675,,
230,43.6504,43.3871,43.9138,43.6397,43.5223,43.7571,230.1860,40.95,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,#,Market Price,LSM Price,Absolute Error,% Error
,,,,,,1,0.615,0.0186,-0.5964,-96.98%
,,,,,,2,0.755,0.0373,-0.7177,-95.06%
,,,,,,3,0.92,0.0723,-0.8477,-92.14%
,,,,,,4,1.115,0.1303,-0.9847,-88.31%
,,,,,,5,1.345,0.2261,-1.1189,-83.19%
,,,,,,6,1.63,0.3733,-1.2567,-77.10%
,,,,,,7,1.965,0.5839,-1.3811,-70.29%
,,,,,,8,2.355,0.8845,-1.4705,-62.44%
,,,,,,9,2.82,1.3054,-1.5146,-53.71%
,,,,,,10,3.35,1.8377,-1.5123,-45.14%
,,,,,,11,4,2.5204,-1.4796,-36.99%
,,,,,,12,4.75,3.3611,-1.3889,-29.24%
,,,,,,13,5.625,4.4148,-1.2102,-21.51%
,,,,,,14,6.65,5.6626,-0.9874,-14.85%
,,,,,,15,7.825,7.1513,-0.6737,-8.61%
,,,,,,16,9.175,8.8494,-0.3256,-3.55%
,,,,,,17,10.675,10.801,0.126,1.18%
,,,,,,18,12.4,13.0349,0.6349,5.12%
,,,,,,19,14.4,15.4773,1.0773,7.48%
,,,,,,20,16.6,18.1692,1.5692,9.45%
,,,,,,21,19.125,21.1122,1.9872,10.39%
,,,,,,22,21.95,24.2513,2.3013,10.48%
,,,,,,23,24.925,27.7112,2.7862,11.18%
,,,,,,24,28.6,31.3878,2.7878,9.75%
,,,,,,25,32.475,35.282,2.807,8.64%
,,,,,,26,36.675,39.3578,2.6828,7.32%
,,,,,,27,40.95,43.6397,2.6897,6.57%
